抓取時間: 2026-09-19 14:55:59 | 發布時間: 2026-09-18T00:00:00Z | 來源: [Yahoo_Finance] | 標題: Christine Lagarde Helped Block Binance’s Foothold in Europe | 內文: 
抓取時間: 2026-09-19 14:55:59 | 發布時間: 2026-09-17T23:57:24Z | 來源: [Yahoo_Finance] | 標題: A Failed Cholesterol Drug Raises the Stakes for Amgen (AMGN) and Eli Lilly (LLY) Too | 內文: 
抓取時間: 2026-09-19 14:55:59 | 發布時間: 2026-09-17T23:40:26Z | 來源: [Yahoo_Finance] | 標題: Meta (META) Hands its New AI Agent the Keys to Your Inbox and Wallet | 內文: 
抓取時間: 2026-09-19 14:55:59 | 發布時間: 2026-09-17T23:37:26Z | 來源: [Yahoo_Finance] | 標題: Novo Nordisk (NVO) Pulls the Plug on Two More Heart Drug Trials | 內文: 
抓取時間: 2026-09-19 14:55:59 | 發布時間: 2026-09-17T23:35:17Z | 來源: [Yahoo_Finance] | 標題: Washington Tells Ford (F) its Chinese Partnerships are a National Security Problem | 內文: 
抓取時間: 2026-09-19 14:55:59 | 發布時間: Mon, 27 Jan 2025 14:26:00 -0500 | 來源: [WSJ_Markets] | 標題: Stocks Sink in Broad AI Rout Sparked by China's DeepSeek | 內文: U.S. stocks were mostly lower, with the Nasdaq leading declines as makers of AI infrastructure suffered steep falls, many in the double digits. Nvidia was down 16%.
抓取時間: 2026-09-19 14:55:59 | 發布時間: Mon, 27 Jan 2025 14:01:00 -0500 | 來源: [WSJ_Markets] | 標題: Comex Gold, Silver Settle Lower | 內文: Gold settled 1.4% lower, down two of the past three sessions, and silver fell 2.5%, down three of the past four sessions.
抓取時間: 2026-09-19 14:55:59 | 發布時間: Mon, 27 Jan 2025 13:12:00 -0500 | 來源: [WSJ_Markets] | 標題: DeepSeek Won't Sink U.S. AI Titans | 內文: Panic fueling the selloff of Nvidia, Broadcom and other tech giants is overblown.
抓取時間: 2026-09-19 14:55:59 | 發布時間: Mon, 27 Jan 2025 12:27:00 -0500 | 來源: [WSJ_Markets] | 標題: Financial Services Roundup: Market Talk | 內文: Gain insight on Experian, SoFi Technologies and more in the latest Market Talks covering Financial Services.
抓取時間: 2026-09-19 14:55:59 | 發布時間: Mon, 27 Jan 2025 12:20:00 -0500 | 來源: [WSJ_Markets] | 標題: Arabica Coffee Prices Hit Record on U.S., Colombia Tariff Spat | 內文: Arabica coffee prices hit a record level, as traders digested the withdrawal of President Trump’s threats to impose tariffs and economic sanctions on Colombia.
抓取時間: 2026-09-21 10:17:19 | 發布時間: 2026-09-19T23:02:22Z | 來源: [Yahoo_Finance] | 標題: 80-year-old discount fashion chain closing 120 stores | 內文: Oops, something went wrong Skip to navigation Skip to main content Skip to right column Yahoo Finance Home News Finance Sports More News US Politics World Climate change Health Science Originals Newsletters Finance My portfolio News Markets Research Community Personal finance Videos Sports World Cup Fantasy Football 2026 Fantasy NFL NFL Odds NBA MLB NHL College football College basketball Soccer Sports Betting Yahoo Sports AM Shopping Style Beauty Health Home and garden Pets Tech Gift ideas Stores Shopping Guides Deals Toys and games Shopping lists General Entertainment Celebrity TV Movies Music How to Watch Interviews Videos Nonfiction Hotlist Life Health Parenting Horoscopes Shopping Food Travel Autos Gift ideas Buying guides Selected edition US English Sign in My Portfolio News Markets Stock market Crypto Real estate Magnificent 7 Private markets Futures & Derivatives Originals Newsletters Economy & Policy Earnings Oil & gas Strait of Hormuz Tariffs Clean Energy Tech Aerospace & Defense Enterprise Cloud Pharma & Biotech Cybersecurity Exchange-Traded Funds Markets Stocks Most active Day gainers Day losers Trending Highest dividend Small cap Large cap Most expensive Highest beta Pink sheet Unusual volume Crypto Most active Day gainers Day losers Private companies 52 week gainers Recently funded Most funded Options Day gainers Day losers Highest open interest Highest implied volatility Sectors Technology Financial services Consumer cyclical Communication services Healthcare Industrials Consumer defensive Energy Basic materials Real estate Utilities Treasury bonds Futures Currencies World indices ETFs Mutual funds Calendars Earnings IPOs Stock splits Economic events Research Screeners Stocks Most shorted Most active penny stocks Analyst strong buy Stock comparison NVDA vs INTC NVDA vs AMD GOOG vs AMZN AAPL vs MSFT TSLA vs RIVN Currency converter Advanced charts Community Personal Finance My Money BETA Credit cards Compare Credit Cards Best 0% APR cards Best balance transfer cards Best rewards cards Best travel cards Banking Best CD rates Best high-yield savings accounts Best money market accounts Best free checking accounts Best online banks Mortgage Best mortgage lenders Best mortgage rates Mortgage refinance First time homebuyer Mortgage payment calculator Home affordability calculator Insurance Find car insurance Types of car insurance Find life insurance Taxes How to file Tax brackets and rates Child tax credit Tax extension Tax refund status Student loans Federal vs. private How to apply FAFSA 2026-27 Student loan assistance Personal loans Best personal loans Improve credit score How to get approved Calculators All Calculators 50/30/20 Budget Calculator Compound Interest Calculator Savings Calculator Savings Goal Calculator Social Security Calculator Videos Watch Now Latest Editor's picks Trending stocks Investing insights Live shows Morning Brief Opening Bid Market Catalysts Market Domination Market Domination Overtime Asking for a Trend The Daily Wolf Weekly shows Power Players Trader Talk Built Different The Big Idea ETF Report ... Network U.S. markets closed US Markets US Markets Europe Markets Asia Markets Cryptocurrencies Rates Commodities Currencies U.S. markets closed S&P Futures 7,739.25 +26.75 +0.35% Dow Futures 52,222.00 +143.00 +0.27% Nasdaq Futures 30,071.75 +154.50 +0.52% Russell 2000 Futures 2,888.90 +7.40 +0.26% VIX 14.81 -0.63 -4.08% Gold 4,411.30 -13.60 -0.31% Bitcoin USD 81,321.52 +1,018.07 +1.27% Crude Oil Nov 26 94.09 -1.99 -2.07% ADVERTISEMENT 80-year-old discount fashion chain closing 120 stores Daniel Kline Sun, September 20, 2026 at 7:02 AM GMT+8 5 min read TJX Pricing alone does not decide where people buy their clothes. With a number of retail chains competing for the off-price, on-trend fashion crown, it's easy for one brand to fall out of favor. Consumers seem to have an enduring love for Marshalls and TJ Maxx, while the popularity of Ross Dress for Less has grown steadily in recent years. These brands drive sales by foot traffic, and that's a battle the aforementioned chains have been winning. "Off-price apparel remained on solid footing in Q2 2026, with Ross leading the segment. Visits to Ross Dress for Less rose 16.4% year over year (YoY), while dd's DISCOUNTS grew 8.4%. TJX's TJ Maxx and Marshalls, meanwhile, saw visits hover around last year's levels — significantly outperforming traditional apparel, which declined 3.5% YoY," according to data from Placer.ai. In the battle for customers looking for deals on trendy, fashionable clothes, Cato has been struggling, and now plans to close about 15% of its retail stores. The Cato Corporation reported net income of $1.1 million in the second quarter, compared to net income of $6.8 million for the second quarter, which ended Aug. 2, 2025. Sales for the second quarter 2026 were $163.9 million, or a decrease of 6% from sales of $174.7 million for the second quarter ended Aug. 2, 2025, primarily due to a 3.7% same-store sales decrease for the quarter compared to 2025. The company blamed its customers for the drop. "Our results in the quarter are in large part due to the continued pressure on our customers' discretionary income, which is being negatively impacted in part by persistent inflation, higher fuel prices and continued elevated interest rates," CEO John Cato said in the earnings release. It's a situation he does not see improving anytime soon. "We expect the negative pressure on our customers' discretionary income to continue for the foreseeable future. We will continue to tightly manage our expenses and inventory as we anticipate the back half of 2026 to be challenging." The chain's rivals, however, tell a different story. Ross Dress for Less sales for the second quarter of fiscal 2026 increased 13% versus last year, with comparable store sales up 10%, primarily driven by customer traffic. Marshalls and TJ Maxx, which TJX reports on jointly, reported a 1% same-store sales increase and a 3% jump in overall sales. Cato has expanded its plan to close down underperforming stores. It's adding 70 new closures to the list of locations that will close before the end of the company's fourth quarter, bringing the total planned shutdowns to 120, according to a press release. The chain, John Cato noted, looks at a third of its retail base every year to decide whether to exercise available lease options or negotiate an extension based on each store's performance, including store sales trends and current and projected store profitability. "In years past, marginal stores were renewed for an additional year to give the store more time to improve its sales trend and profitability. In light of the current economic environment, especially with the negative pressure on our customers' discretionary income, we do not expect these marginal stores to improve appreciably," he said. Morningstar analysts believe Ross Dress for Less' roughly 2,200 stores give it an advantage over smaller competitors such as Cato, which operated more than 800 stores before the planned closures. "As the second-largest off-price retailer in the U.S. with about 30% market share, we think Ross Stores' unique inventory procurement method and scale positions the firm to comfortably expand its top line at a mid-single-digit pace while fending off competition from online channels in the future," the analysts shared in a research note. Size matters, as does the relationship Ross has built with its suppliers. "We suggest that Ross' standing as a reliable sales outlet for product manufacturers and traditional (or full-price) retailers looking to discreetly liquidate excess inventory should provide the firm with a plethora of buying opportunities," Morningstar added. Cato is trying to sell affordable, on-trend women's fashion. Ross and the TJX brands are playing the same value game, but with a much larger buying operation and access to merchandise from manufacturers and full-price retailers looking to clear excess inventory. "As fashion evolves, one thing remains the same — our commitment to putting women's confidence first. For 80 years, Cato has helped women look and feel their best with stylish, affordable fashion for every occasion," the chain shared on its website. Related: Southwest Airlines keeps raising fares and adding fees With many Americans struggling financially, it's easy to see why off-price name brand clothing would appeal to more people. GlobalData Managing Director Neil Saunders, however, commented on TJX, Ross, and Burlington, which he called the three biggest players in the space, a year ago on his LinkedIn page. "Since 2019, the three main chains all delivered US sales growth in excess of 30%. By contrast, the total market for the things they sell — mostly fashion and home — grew by just 21.7% over the 2019 to 2024 period. In other words, they've all expanded their market share," he wrote. He thinks that those three companies have steadily earned consumer trust. "All of this is a testament to the skill of the off-price teams. Yes, things like value for money and bargain hunting are very much in their favor. But consistently delivering on these consumer requirements is far from easy. The effort, knowledge, and judgment involved are immense," he added. The closing Cato stores, the company shared, all have expiring leases, so the cost of rent for those locations will come off the retailer's books by the end of 2026. ALSO READ: Kroger pulls Red Bull from every grocery store and gas station This story was originally published by TheStreet on Sep 19, 2026, where it first appeared in the Retail section. Add TheStreet as a Preferred Source by clicking here.
